amount,gst_amount,refund_amount,amount_paid,payment_id,onboarding_id,lead_id,trackrr_customer_id,sub_product_id,payment_provider_id,payment_ids,detail_concern,utr,refund_date,bank_proof,reason_id,contact_id,process_status,remarks
28800.0,5184,33984.0,33984.0,7695.0,14225.0,385689.0,0.0,3.0,,"7695,7695","Case fact on 26th feb 2026 email raised : Pl. I don't want to continue service. I my self doing investment thanks ð
ops comemnt not answering the call                                                                                                                                             .OPs comment : 6 march 2926 :We tried calling the client multiple times but he isn't answering. The client's second tranche was deducted; he wants a refund for that amount. The reason he mentioned it is that he is investing himself, not investing in our recommendation. we have shared email to client for bank details.Â",INF/NEFT/IN42607656321150/UBIN0542423/68196970 / /SUNILGOPALR,2026-03-11,sgr2163@gmail.com.jpg,8.0,2446429,FAILED,"column ""temp_payment_ids"" of relation ""refund"" does not exist
LINE 34:     temp_payment_ids,
             ^
"
68600.0,12348,80948.0,80948.0,5240.0,9957.0,423006.0,0.0,3.0,,"5240,5240","Case fact : On 28th Feb 2026 : client has raised an email that client wants a refund. tranche 2                                                                                               Ops comment : On 5 march : Spoke with the client. She stated that she is a student and currently does not have funds to invest; therefore, she is requesting a refund. She has been informed that an email will be shared with her regarding the same.",INF/NEFT/IN42607656321091/SBIN0009816/68196970 / /YUVIKASONI,2026-03-17,yuvikasoni09@gmail.com.jpg,4.0,2463016,FAILED,"column ""temp_payment_ids"" of relation ""refund"" does not exist
LINE 34:     temp_payment_ids,
             ^
"
72000.0,0,72000.0,72000.0,8212.0,15061.0,1687368.0,,4.0,,"8212,8212","Issue: Client want PMP Refund.

17th Dec 2025: Receivables email to Counsellor and Akhilla: The client mentioned below claims he was onboarded based on a commitment to generate due payments every 6 months (instead of the usual 4 months). He was onboarded on 4th August 2025 by Shivam Agarwal and was told to complete Enach with the understanding that cancellation could follow later, as advised by the Sales representative. Subsequently, on 4th December, his Enach was executed but failed because he did not maintain the required balance, owing to the six-month commitment. The client is now requesting a full refund of the PMP membership, citing false commitments by Shivam, and he also wishes to discontinue with PreIPO. @Raj Mehta  FYI.  @Datti Akhila Please ask Shivam to speak to the client and retain him, as he is not responding to his calls. Attached is the call recording where the client spoke about the commitments made to him.

17th Dec'25 to 27th Jan 26: No response from counsellor.

3rd Feb 2026: Client Email to Grievance: team I want full refund of my subscription amount as it was quoted by your counselor shikha singh that if I don't get return this services I will get full refund of the amount paid.i will escalate it to sebi Tomorrow first thing in the morning need proper revert today it self.

3rd Feb 2026: Shivam Agarwal Feedback: I had a word with the client. He started threatening me for the same. He is very irate with the returns. Please see what best we can do in this case. Attached recording for your reference.

Ops comments on the call recording of Shivam Agarwal: The client is very much frustrated and is abusive on call. He keeps on demanding refund only, he said Shikha singh had promised the returns in 6 months. In pre-ipo he was told 30% to 50% returns withing 4 months, he threaten to complaint to SEBI if the refund is not processed and demanding full refund only.

Ops Action Required: Ops to check quality recording and refund full against counsellor false commitment. - 

20.2.26 - Escalted to the counsellor awaitng revert by EOD.

Since client is repeatedly threatening for SEBI and No further discoussion record found post whats's app sharing on pricing, processing the full refund to close the case.",INF/NEFT/IN42607052601395/BARB0DBBHIL/67922819 / /SANJEEVSING,2026-03-11,sanjeev9302@gmail.com.jpg,130.0,2621346,FAILED,"column ""temp_payment_ids"" of relation ""refund"" does not exist
LINE 34:     temp_payment_ids,
             ^
"
20000.0,0,20000.0,0.0,4913.0,9217.0,632300.0,0.0,1.0,,"4913,4913","Issue: We received client concern on 5th Jan 2026 for refund (refer attached complaint)

Operations Discussion with Client:  The client has purchased a residential property and won't be able to invest further. We informed him that  as the services are for 25 years he can invest later, then he said he won't be able to pay the remaining tranches as his fund is blocked now. Informed him that there will be hardly any amount he will get in refund.
5th Jan to 13th Jan 2026 - No response from counsellor inspite of escalation.
13th Jan 2026 Sales Feedback: Sales team had an in depth conversation with the client & he stated that  ,He is buying a residential property , and does not have any funds to invest further , especially facing issues to pay next tranches . Sales team tried to counter the pitch but he had a funds shortage. Kindly proceed , this client cannot be retained.
16th Jan 2026: Ops responded client with refund calculation as per Agreement clause and asked for Bank Details
17th Jan 2026: Client responded that not satisfied with calculation as Counsellor committed that only 4k to 5k would be debited if requested for refund before payment of tranche 2.
20th Jan 2026:  responded to the client on  that refund is calculated as per agreement signed and also as per client below client email request dated 5th January 2026 where himself asked for a refund as perClause 10.3 (Voluntary Termination) and Clause 11.1.2 of the Investment Advisory Agreement.

20th Jan 2026- Client responded again that commitment was different at the time of onboarding.

January 16, 2026 11:48:28 am & Tue, Jan 20, 6:29â¯PM: email sent to client - Bank details - Refund Amount - 6,523 .

21st Jan 2026 :SEBI SCORE Complaint received: Client disagreed the refund amount and escalated the matter to SEBI - Case facts shared with compliance.

26th Jan 2026: Responded client with calculation of refund .",,,itsmeraghavmittal@hotmail.com.pdf,182.0,2692049,FAILED,"column ""temp_payment_ids"" of relation ""refund"" does not exist
LINE 34:     temp_payment_ids,
             ^
"
64046.0,0,64046.0,0.0,6618.0,11265.0,1645597.0,,4.0,,"6618,6618","Case Facts:
On 11th March 2026, the client sent an email to support requesting a refund.

Ops Comment:
On 12th March 2026, we spoke with the client. He stated that he has incurred a loss of around â¹15 lakhs in Futures and Options, due to which he currently does not have funds to invest in the market and therefore requested a refund. The client also mentioned that he may consider continuing the service after one year once he has sufficient funds.

We have informed the client that the refund will be processed as per the company policy. Accordingly, the refund will be processed for 2 tranches only, after deducting GST and service usage.",Considered in payment list of 17/03/26,,govindranjanikar7@gmail.com.jpg,183.0,2752368,FAILED,"column ""temp_payment_ids"" of relation ""refund"" does not exist
LINE 34:     temp_payment_ids,
             ^
"
30600.0,5508,36108.0,0.0,7219.0,13331.0,796601.0,0.0,2.0,,"7219,7219","11th feb 26-It is my humble request to you that I don't want to continue with equintis so please cancel my e mandate and cancel my subscription or refund my fees
Thank you....
19th feb 26-The client had already emailed on 11th February 2026 requesting e-mandate cancellation and a refund. On 13th February, the second tranche was deducted. We contacted the client regarding discontinuation, he initially cited personal reasons and later mentioned fund issues. The client requested a refund for the recently deducted tranche, and we have processed a full refund accordingly.",Considered in payment list of 18/03/26,,pansuriasandeep72@gmail.com.png,4.0,2856127,FAILED,"column ""temp_payment_ids"" of relation ""refund"" does not exist
LINE 34:     temp_payment_ids,
             ^
"
68666.0,0,68666.0,68666.0,8161.0,14977.0,1678292.0,,4.0,,"8161,8161","5-Feb-26:

Ops comments:  Spoke with the client. He stated that RM Nicholas Paul had informed him that he would receive 40% returns before the second tranche payment, failing which the first tranche would be refunded. I informed the client that, as per policy, he is not eligible for a refund. The client disagreed and insisted on a refund.

Ops 2nd comments: I have spoken to the client, he said that he was told by the counsellor that he will get the profit of 30% to 40% in pre-ipo till his next tranch due and he can make the tranch payment with the profit. He said initially multiple times he denied the subscription but later he agreed on the basis of the above statement.

1. We need to check the sales pitch recording and the welcome call. On that basis we will take the decision.

@vidhi pithadiya - The client wants to change his alternate number as his primary number as inspite of many emails he is still getting calls on his registered number. I asked him to change the number and also informed me that OTP will not be sent on ISD no. and he is OK with that. (Changes done).

Action taken: pitch is in tamil / discuss with ashrita // email to client that he is not eligible. On Jan month clinet raised query we have denied in jan month. Again client has raised concern in feb month. client has shared us proff of rm commtiment as per that we are providing full refund without GST.",INF/NEFT/IN42607153108342/SBIN0000970/67965054 / /RAMANATHANS,2026-03-12,meetramusenthil@gmail.com.jpg,61.0,3020351,FAILED,"column ""temp_payment_ids"" of relation ""refund"" does not exist
LINE 34:     temp_payment_ids,
             ^
"
28800.0,5184,33984.0,33984.0,8199.0,15091.0,1050099.0,0.0,3.0,,"8199,8199","case on march 7 client email on support : I would like to bring to your notice that the subscription amount has recently been deducted from my bank account through the registered bank mandate for the investment service.
Due to unfortunate and unforeseen circumstances, I have recently lost my job and am currently facing financial constraints. At this point, I am in a survival mode financially and will not be able to continue with the investment subscription for the time being. Considering my current situation, I kindly request you to please cancel my subscription and process a refund for the amount that has been deducted from my bank account.
I would greatly appreciate your understanding and support in this matter. Please let me know if any additional information or formalities are required from my side to process the refund.                                                                        OPS comment : on 10 march 2026 : Received an inbound call, the client stated that he recently lost his job and no longer has funds to invest more. hence asking for a refund.",INF/INFT/043734046161/68196970 /VINAYKM/,2026-03-17,vinay6616@gmail.com.jpeg,187.0,3108801,FAILED,"column ""temp_payment_ids"" of relation ""refund"" does not exist
LINE 34:     temp_payment_ids,
             ^
"
24322.0,0,24322.94,24322.0,4491.0,8539.0,1252793.0,0.0,1.0,,"4491,4491","On feb 5th Client raised query to  pre ipo team : received an inbound call from Hari Nair, who mentioned he has been trying to reach you regarding an urgent matter. Mr. Nair is requesting to cancel his pre-IPO subscription and obtain a refund as soon as possible due to a medical emergency involving his wife's surgery.                                                                                                                                                                                        Rm sunil connect the client on  5th Feb 2026 : Iâve spoken to the client from my end.
At the moment, he is dealing with a medical emergency â his wife is undergoing surgery and treatment for certain health issues. Due to this, he is in urgent need of funds and is understandably not in the right frame of mind to continue with investments right now. I did try explaining and convincing him that we could keep the investments on hold and continue the services at a later stage, but he was quite clear that he would prefer to exit for now and return once things stabilize on the personal front. Given the situation and the urgency involved, I request you to please go ahead and initiate the refund process at the earliest, as feasible.


Ops to call the client and informed he is not eligible. On 23rd feb 2026 : client is not answering the call inform through email not eligible c

Revised calculation sent to the client on pro-rata basis.",INF/NEFT/IN42606557805185/DCBL0000060/67594612 / /HariNair,2026-03-06,haricertain@gmail.com.jpg,1.0,3307788,FAILED,"column ""temp_payment_ids"" of relation ""refund"" does not exist
LINE 34:     temp_payment_ids,
             ^
"
24000.0,0,24000.0,24000.0,7514.0,13865.0,1323695.0,,2.0,,"7514,7514","2.Feb.26 - Email from client received

Reason for refund : I have not requested for portfolio performance review for your recommendations. Please do not send those as I am not going thru them. I have one point very clear that at the time of PMP registration I was given to understand that any point in time if I wish to cancel the services it will be done immediately with no questions asked.

So please cancel the PMP registration along with e-mandate cancellation and process the full refund by next week.

Ops comments : Tried connecting through EC and Landline - but could not connect
9-Feb-26 : Ops comments : Brief: The client said he is not happy with recommendations and the returns. Informed him that it is so early to expect the return as its a long term product. He said he agrees on that but still the returns go negative drastically so he is worried and does not want to continue. I informed him that as per the policy he will either get the marginal amount of refund or no refund. He requested to consider something as he is asking for a PMP refund not a retail refund. Told him I will email him whatever is possible.

NOTE: He has decided for a refund hence,, denied for PRM call.

12-Feb-26 : Not eligible email sent
13-Feb-26 : Client emailed for full refund
16-Feb-26 : Email for prorata sent i.e. 5,443/-
16-Feb-26 : Client again emaile for full refund only  or he will escalte. as the counsellor said if not happy will get full refund.

Observation: We have gone through the WC and sales pitch no refund discussion. Hence we will not provide any refund beyond pro-rata.

20-Feb-26 : The client hasraised the concern to Swapnil, for full refund. Swapnil is yet to send the reply.

Compliance comments: Following the discussion with the client regarding their grievance, the client agreed to a refund amount of Rs. 12,000/- hence, requesting you to take confirmation on email from the client; & proceed further.",INF/NEFT/IN42606950933452/HDFC0000051/67778628 / /SameerShash,2026-03-10,sssalastekar@gmail.com.pdf,148.0,3378689,FAILED,"column ""temp_payment_ids"" of relation ""refund"" does not exist
LINE 34:     temp_payment_ids,
             ^
"
